value,id
"tejas o tejuela (arcilla, met?lica, cemento, madera, asfáltica)",1
losa hormigón,2
"planchas metálicas (zinc, cobre, etc.)",3
planchas de fibrocemento (pizarreño),4
fonolita o plancha de fieltro embreado,5
"paja, coirón, totora, caña",6
materiales precarios o de desecho,7
sin cubierta en el techo,8
sin dato,9
