value,id
casa aislada (no pareada),1
casa pareada por un lado,2
casa pareada por ambos lados,3
departamento en edificio con ascensor,4
departamento en edificio sin ascensor,5
pieza en casa antigua o conventillo,6
"mediagua, mejora o vivienda de emergencia",7
vivienda tradicional indígena,8
rancho o choza,9
"vivienda precaria de materiales reutilizados (latas, plásticos, cartones, etc.)",10
