value,id
"sí, serviu (sílo viviendas adquiridas desde 1977 hasta 2001)",1
"sí, banco estado",2
"sí, banco privado",3
"sí, cooperativa",4
"sí, financiera u otra institución",5
"no, sin crédito hipotecario",6
sin dato,7
