value,id
hormigón armado,1
"albañilería (bloque cemento, piedra o ladrillo)",2
"tabique forrado por ambas caras (madera, acero, lata, u otro)",3
tabique sin forro interior (madera u otro),4
"adobe, barro, quincha, pirca u otro artesanal tradicional",5
"materiales precarios o de desecho (cartón, latas, sacos, plásticos, etc.)",6
sin dato,7
