"","comuna_name","year","geography_unit","weighted_mean_income","weighted_median_income","weighted_gini_income","lb_weighted_mean_income","ub_weighted_mean_income","lb_weighted_median_income","ub_weighted_median_income","lb_weighted_gini_income","ub_weighted_gini_income"
"61","Antofagasta",2000,3,69988,44696,0.44,62849,78173,43858,52524,0.4,0.483
"62","Antofagasta",2015,3,303158,222474,0.428,287542,320485,211580,235372,0.404,0.451
"63","Antofagasta",2003,3,106629,83391,0.4,101330,114123,77850,91752,0.374,0.421
"64","Antofagasta",1998,3,93715,60302,0.485,85624,103500,55608,68048,0.452,0.519
"65","Antofagasta",2006,3,184200,127031,0.456,169847,199255,120162,131543,0.427,0.49
"66","Antofagasta",2009,3,195383,143149,0.385,188481,203075,138315,148290,0.366,0.401
"67","Antofagasta",1994,3,48555,32630,0.46,45313,51808,29850,34367,0.44,0.479
"68","Antofagasta",1992,3,42469,28338,0.494,37352,48750,25879,29911,0.434,0.552
"69","Antofagasta",1996,3,91324,52854,0.513,82810,101481,45917,59453,0.471,0.547
"70","Antuco",2009,3,128528,72426,0.573,112245,144488,65339,75688,0.528,0.618
"71","Antuco",2000,3,100973,70890,0.431,95231,106933,68219,73355,0.411,0.448
"72","Antuco",2003,3,111559,77560,0.451,104687,117861,73650,83520,0.431,0.471
"73","Antuco",1998,3,89092,61299,0.454,84225,93423,56920,63701,0.436,0.473
"74","Antuco",2006,3,93423,65932,0.408,85870,100932,60720,73635,0.377,0.434
"75","Antuco",2011,3,142272,94710,0.464,114634,187476,81583,101728,0.345,0.574
"76","Antuco",1996,3,74917,49945,0.44,71083,79600,48333,51532,0.418,0.46
"77","Antuco",1990,3,42279,25254,0.511,38400,46899,24153,27735,0.466,0.55
"78","Antuco",1992,3,33444,25286,0.422,31465,34931,23426,26322,0.402,0.437
"79","Antuco",1994,3,64197,43660,0.461,59770,68111,40829,46719,0.441,0.48
"80","Arauco",2011,3,103866,89135,0.363,94361,113336,85751,90554,0.33,0.396
"81","Arauco",2015,3,167223,134094,0.377,156176,181906,121765,146099,0.343,0.403
"82","Arauco",2009,3,193246,100845,0.555,149394,259746,92194,117988,0.434,0.661
"83","Arauco",2000,3,84935,53333,0.499,77030,94659,46601,57145,0.464,0.529
"84","Arauco",2006,3,85567,66582,0.367,80132,90641,62361,68379,0.34,0.391
"85","Arauco",1992,3,27438,20171,0.394,26018,28816,18068,21872,0.378,0.406
"86","Arauco",2003,3,59600,43521,0.435,55162,65470,41741,45306,0.399,0.46
"87","Arauco",1994,3,32289,26915,0.373,30287,34314,25226,27946,0.345,0.404
"88","Arica",2015,3,229364,160716,0.424,219822,241762,157441,164464,0.408,0.442
"89","Arica",2011,3,195826,131003,0.467,184503,218991,124720,135054,0.44,0.519
"90","Arica",2009,3,187383,133937,0.433,175652,202115,127046,142787,0.402,0.461
"91","Aysén",2009,3,173873,121550,0.449,161012,188150,111421,133965,0.423,0.483
"92","Aysén",2006,3,158614,110827,0.43,146222,171801,102577,118743,0.399,0.457
"93","Aysén",2011,3,241520,148591,0.499,226193,260393,141810,160511,0.474,0.525
"94","Aysén",1992,3,65604,34786,0.586,52975,88349,30335,36146,0.502,0.686
"95","Aysén",2000,3,122481,66573,0.576,101187,144966,59352,68942,0.504,0.644
"96","Aysén",2015,3,241555,167255,0.402,230705,257261,162574,179402,0.386,0.429
"97","Aysén",2003,3,109173,77280,0.435,100982,119973,69160,82148,0.401,0.47
"98","Aysén",1994,3,59651,36654,0.481,54927,66077,34585,37864,0.447,0.523
"99","Aysén",1990,3,31703,19357,0.486,29032,34518,18939,20793,0.459,0.519
"100","Aysén",1998,3,106157,68502,0.45,99332,111728,63604,71186,0.429,0.47
"101","Aysén",1996,3,96405,61564,0.503,87563,102637,55660,66398,0.482,0.525
"102","Buin",2011,3,209117,133791,0.464,183427,239722,127011,150522,0.396,0.524
"103","Buin",2000,3,103168,61409,0.498,94999,115137,59768,65188,0.472,0.527
"104","Buin",1998,3,95463,64843,0.463,89505,101348,62067,72242,0.442,0.478
"105","Buin",2003,3,138489,81079,0.524,124302,148917,71960,83333,0.498,0.551
"106","Buin",2006,3,117141,82488,0.415,110773,121649,76161,84520,0.396,0.433
"107","Buin",2009,3,164598,133567,0.372,156386,174045,127395,140055,0.346,0.398
"108","Buin",1994,3,52829,40162,0.405,49164,55868,38263,41825,0.382,0.431
"109","Buin",1992,3,39649,26070,0.476,36388,42330,24525,27630,0.449,0.498
"110","Buin",1990,3,34451,20168,0.527,31247,38972,18717,20977,0.484,0.573
"111","Bulnes",2003,3,92971,59520,0.475,85274,103443,56168,62164,0.442,0.512
"112","Bulnes",2009,3,113254,82160,0.4,105845,119585,75918,89550,0.375,0.419
"113","Bulnes",1996,3,65289,41893,0.473,61220,70565,39187,43981,0.45,0.498
"114","Bulnes",2011,3,128213,102947,0.376,114390,143641,89691,108090,0.335,0.414
"115","Bulnes",2000,3,91696,50000,0.555,77583,106693,44909,54780,0.494,0.593
"116","Bulnes",1994,3,43128,29506,0.454,40722,45481,27512,30273,0.43,0.471
"117","Bulnes",1992,3,53573,25302,0.584,43481,66909,23321,26721,0.5,0.665
"118","Bulnes",2006,3,106812,74546,0.452,99473,115106,68104,80165,0.43,0.477
"119","Bulnes",1998,3,67853,36511,0.516,61789,78020,35121,41935,0.48,0.562
"120","Cabildo",1998,3,116779,60240,0.534,103421,134720,54944,66607,0.498,0.584
"121","Cabildo",2011,3,180476,122127,0.451,159440,216944,110124,131114,0.402,0.504
"122","Cabildo",2003,3,137900,77253,0.515,121514,159077,68176,88035,0.481,0.534
"123","Cabildo",1994,3,50849,31370,0.489,45788,58109,30694,32585,0.443,0.539
"124","Cabildo",2006,3,117831,75395,0.468,104999,128974,68403,79549,0.425,0.508
"125","Cabildo",2009,3,140668,110896,0.352,131535,148776,107647,114874,0.321,0.378
"126","Cabrero",1992,3,34840,21836,0.492,31315,38874,21102,23227,0.444,0.532
"127","Cabrero",2006,3,95337,69511,0.42,88150,101421,65847,72016,0.402,0.443
"128","Cabrero",1994,3,47531,28981,0.509,42253,51804,27659,30090,0.459,0.545
"129","Cabrero",2011,3,127145,87857,0.47,106474,149382,80790,93694,0.384,0.537
"130","Cabrero",1990,3,22701,14501,0.479,20680,24362,13758,15379,0.445,0.502
"131","Cabrero",2000,3,62046,48041,0.4,58513,64807,44976,51904,0.38,0.418
"132","Cabrero",1996,3,69870,43341,0.504,62174,77463,40024,45312,0.463,0.543
"133","Cabrero",2003,3,87076,63654,0.459,77387,98542,55704,66649,0.412,0.502
"134","Cabrero",1998,3,58414,39270,0.418,54585,62916,36955,41313,0.394,0.442
"135","Cabrero",2009,3,98172,75360,0.406,89983,107694,72322,79747,0.371,0.445
"136","Calama",2006,3,171607,115902,0.441,156379,191322,104399,129425,0.389,0.487
"137","Calama",2000,3,151519,101116,0.427,141731,165218,95572,125000,0.402,0.447
"138","Calama",1996,3,102787,76608,0.422,90721,110996,71298,80626,0.371,0.454
"139","Calama",2015,3,316136,234057,0.418,299941,332214,226528,243803,0.394,0.44
"140","Calama",1998,3,132622,72790,0.525,120265,152271,67332,82830,0.484,0.561
"141","Calama",1994,3,85541,52220,0.512,79692,92256,48029,56190,0.491,0.535
"142","Calama",2011,3,295696,206633,0.444,283390,307150,198978,215434,0.43,0.463
"143","Calama",1990,3,49065,28186,0.547,44992,52864,24529,29037,0.528,0.569
"144","Calama",2003,3,151404,102916,0.482,139476,169516,90539,116210,0.445,0.52
"145","Calama",2009,3,231311,177544,0.414,217279,244112,159802,192776,0.395,0.431
"146","Calama",1992,3,57773,39966,0.456,54041,61398,34912,41662,0.438,0.473
"147","Calbuco",2006,3,116650,77108,0.475,101101,129151,73070,79925,0.421,0.536
"148","Calbuco",2003,3,68231,43768,0.491,59934,77677,41551,46844,0.431,0.546
"149","Calbuco",2015,3,171905,122354,0.4,154908,210033,121084,128063,0.342,0.508
"150","Calbuco",2011,3,156288,107055,0.446,145341,169521,101767,112197,0.417,0.475
"151","Calbuco",2009,3,133485,97926,0.4,123765,146277,88200,101184,0.376,0.426
"152","Caldera",2011,3,229160,146010,0.448,211181,250641,133825,165398,0.422,0.487
"153","Caldera",2009,3,196697,137064,0.454,175817,226423,128810,147099,0.412,0.491
"154","Caldera",2000,3,141169,1e+05,0.458,130530,155837,92033,112406,0.419,0.488
"155","Caldera",2006,3,143481,89354,0.473,124349,163402,86753,100258,0.402,0.523
"156","Caldera",2003,3,174860,122503,0.461,161639,195599,116117,133821,0.429,0.497
"157","Caldera",1998,3,119067,75032,0.497,103615,133755,71287,79915,0.449,0.546
"158","Caldera",1994,3,69104,52978,0.396,64941,73899,51851,55344,0.368,0.422
"159","Caldera",1996,3,97303,69768,0.462,88751,106749,67032,77529,0.427,0.492
"160","Caldera",1992,3,89331,52203,0.507,81931,99801,48836,57809,0.471,0.548
"161","Calera",2009,3,136204,100148,0.385,128732,143106,95646,108533,0.364,0.404
"162","Calera",2003,3,149235,96060,0.475,135622,162747,86875,105200,0.445,0.508
